Date,Open,High,Low,Close,Adj Close,Volume
2017-08-23,51.830002,52.480000,51.799999,52.029999,52.029999,10019500
2017-08-24,52.189999,52.529999,52.040001,52.160000,52.160000,12345000
2017-08-25,52.270000,52.570000,51.759998,51.770000,51.770000,15307800
2017-08-28,51.950001,52.020000,51.419998,51.630001,51.630001,12425900
2017-08-29,51.209999,51.500000,51.130001,51.419998,51.419998,10715500
2017-08-30,51.459999,51.740002,51.200001,51.360001,51.360001,11427500
2017-08-31,51.000000,51.240002,50.869999,51.070000,51.070000,25231100
2017-09-01,51.060001,51.490002,50.930000,50.970001,50.970001,16217700
2017-09-05,50.630001,50.669998,49.759998,50.099998,50.099998,31251300
2017-09-06,50.250000,50.270000,49.560001,49.880001,49.880001,26854000
2017-09-07,49.939999,49.939999,49.270000,49.680000,49.680000,23367300
2017-09-08,49.610001,49.980000,49.430000,49.580002,49.580002,18424700
2017-09-11,50.000000,50.799999,49.939999,50.660000,50.660000,17987100
2017-09-12,50.849998,51.730000,50.840000,51.570000,51.570000,17129500
2017-09-13,51.389999,51.509998,51.180000,51.459999,51.459999,12617300
2017-09-14,51.540001,51.720001,51.080002,51.290001,51.290001,13739400
2017-09-15,51.279999,51.680000,51.250000,51.660000,51.660000,28494300
2017-09-18,51.669998,52.840000,51.610001,52.709999,52.709999,20943400
2017-09-19,52.720001,53.590000,52.529999,53.360001,53.360001,17047000
2017-09-20,53.389999,54.110001,53.279999,53.750000,53.750000,21560400
2017-09-21,53.549999,54.240002,53.520000,54.060001,54.060001,15775300
2017-09-22,53.919998,54.360001,53.750000,54.250000,54.250000,18047820
